year,month,day,hour,minute,second,latitude,longitude,depth,mi,mb,ms,mw,intensity
1999,5,27,6,18,24.7,15.36,119.68,57,,,5.1,,INTENSITY IV - IBA ZAMBALES SUBIC ZAMBALES MANILA INTENSITY III - QUEZON CITY MABALACAT PAMAPANGA DAGUPAN CLARK ANGELES PAMPANGA INTENSITY II - PALAYAN MAKATI MARIKINA BAGUIO PASAY CITY INTENSITY I -  TAGAYTAY BUCO TALISAY BATANGAS GAPAN NE CABANATUAN
1999,12,11,18,3,40.3,15.85,119.67,65,,,6.8,,INTENSITY VII - INFANTA & DASOL PANGASINAN MASINLOC & CANDELARIA ZAMBALES INTENSITY VI - MANILA MABINI PANGASINAN STA CRUZ ZAMBALES OLOGAPO CITY CLARK SAN FERNANDO LA UNION; INTENSITY V - DAGUPAN PASIG TAGUIG INTENSITY IV - BAGUIO TAGAYTAY PALAYAN LUCBAN MALOLOS                              F     STA CRUZ ZAMBALES INT VII OLONGAPO MASINLOC ZAMBALES - INT VI; CLARK INT VI; SAN FERNANDO LA UNION MANILA INT VI; QUEZON CITY DAGUPAN PASIG TAGUIG INT V; BAGUIO TAGAYTAY PALAYAN LUCBAN MALOLOS INT IV; SANTA INT III; PUERTO GALERA PASUQUIN INT II; CALLAO INT I
1999,12,12,1,11,26.7,16.2,119.79,36,4.6,5.6,5,,
2000,1,6,21,31,9.4,16.25,119.78,37,,,5.9,,INTENSITY III - SANTA CRUZ ZAMBALES IBA ZAMBALES INTENSITY I -  PASAY CITY
2000,2,3,13,42,21.8,13.64,121.48,2,4.7,5.7,5,,INTENSITY III - BATANGAS PAGBILAO QUEZON LUCENA LUCBAN MANILA INTENSITY II - PUERTO GALERA MAKATI MARINDUQUE INTENSITY I - QUEZON CITY TAGAYTAY
2000,6,19,9,34,56.75,14.087,120.33,108,5.1,6,5.6,,INTENSITY IV - TAGAYTAY CITY CORREGIDOR CAVITE MANILA INTENSITY III - QUEZON CITY PTO GALERA STA. ROSA LAGUNA INTENSITY II - ANGELES CITY & PASAY CITY
2000,8,1,7,10,50.42,15.099,122.305,81,5.2,6.1,5.7,,INTENSITY IV - BALER MANILA ORTIGAS INTENSITY III - MAKATI BINANGONAN RIZAL LUCBAN INTENSITY II - MALOLOS ANGELES CITY PALAYAN INTENSITY I - BAGUIO TAYGAYTAY
2000,10,21,22,30,34.88,13.714,120.617,130,4.9,5.9,5.3,,INTENSITY II - PUERTO GALERA TAGAYTAY; INTENSITY I - LUCBAN GUINYANGAN QUEZON CITY CLARK
2001,7,8,17,17,31.29,13.594,120.835,8,,,5,,INTENSITY V - PUERTO GALERA; INTENSITY IV - TAGAYTAY TANAUAN BATANGAS INTENSITY III- MANILA; INTENSITY II- TAGUIG RIZAL; GUINAYANGAN QUEZON
2002,9,3,14,23,45.6,13.522,120.649,1,5.1,6,5.7,,INTENSITY V - WHITE BEACH PUERTO GALERA BATANGAS CITY INTENSITY IV - MUELLE PTO GALERA INTENSITY III- MANILA TAGAYTAY TAGUIG PATEROS INTENSITY II - QUEZON CITY MAKATI MALOLOS
2003,3,2,17,57,26.57,15.42,121.67,5,4.7,5.7,5,,INTENSITY IV - TARLAC TARLAC BALER AURORA CLARK ANGELES CITY MANILA PASIG & PASAY CITY; INTENSITY III - TAGAYTAY LINGAYEN PANGASINAN; INTENSITY I - LUCBAN & GUINAYANGAN QUEZON
2003,4,12,13,42,17.52,13.715,120.467,107,4.9,5.8,5.3,,CLARK MANILA  TAGUIG PUERTO GALERA INTENSITY II QUEZON CITY INTENSITY I
